Gene 
EGFR
FLT3
MET
FGFR2
ERBB2
FGFR3
KIT
PDGFRA
FGFR1
IGF1R
CDH1
GNAS
RAC1
ERBB3
TNFSF10
CTNNB1
CD19
FGFR4
IRS1
CD79B
ITGB3
RET
CD79A
LCK
TFRC
PTK2
ANO1
KISS1R
CDH2
TNFSF11
MUC1
EPHA2
FADD
MPL
SLC6A3
EPCAM
CFTR
THBS1
CA9
EPHB2
TMPRSS2
SDC1
SPHK1
ALK
ABCB1
SLC7A5
GPER1
CAV1
KDR
ITGB1
SLC2A1
EGF
ADA
INSR
PDGFRB
FASLG
IL6ST
CD46
CD2
CD44
MUC16
MC1R
ARC
TRPM8
ABCG2
CD1C
RAC3
ADAM12
GJB2
TNFRSF10A
P2RY12
FAT1
PLD1
SLC7A11
CD1A
LYN
LGR5
CD70
F3
FLT1
LIFR
MBP
CD68
L1CAM
HLA-B
CLTC
FAP
PRKCA
ITGAV
DLL3
SLC16A3
LDLR
TLR4
TLN1
IL1R1
CD38
IL2RG
PDPN
MCAM
CD3E
HLA-DQA1
ENO1
JUP
SLC1A5
CPM
SYK
PTGER4
RYR2
HMMR
CD40LG
CR1
EDNRB
LPAR1
ADRB2
ABCB6
MSLN
CDH11
CD274
CEACAM6
SELP
CHRNA5
MMP14
GAP43
CD36
CD69
CTSG
NOTCH1
PRLR
ROS1
KIAA1524
CTLA4
CD3D
RHOB
GHR
PDCD1LG2
PTPRC
AREG
NOX1
CDC42
NTRK2
RNF43
FAS
SLC45A2
CD80
DLK1
RHOA
ITLN1
CDH3
GJA1
CCR7
CA12
ABCC1
IL6R
CEACAM5
CFLAR
LEPR
CDH6
TNFRSF10B
PSCA
FOLH1
ULBP2
SDC2
ABCC11
AQP4
CD33
CHRNA3
DSG3
NCAM1
SLC19A1
PTPRN2
ANGPT1
ICAM1
PLAUR
DRD2
MAPT
CD52
ACHE
IL2RA
KL
CCR5
CD55
HAS2
LZTS1
ERBB4
ABCC3
TNFRSF11A
SLC2A3
TNF
HLA-A
ALPP
MME
FRS2
SLC39A6
SLC2A4
HAS1
CD5
OGT
PTPN22
TSG101
NOTCH3
SLAMF1
GAB2
NF2
DSG2
TEK
SELL
ABCC6
BACE2
PTGER3
VCAM1
ABCC4
CCR2
GPC3
ST14
CADM1
SLC7A1
ITGA4
FCGR3A
SPN
LPL
IL4R
MUC4
CD1B
DNER
HLA-G
CD8B
CD34
B2M
HLA-DRB1
PLA2G2A
TGFBR1
SMO
MMP16
NTRK1
KCNK9
FLT4
FOLR1
P4HB
CDCP1
RPSA
NOX4
CLDN1
CD244
TNFRSF9
CX3CR1
HSP90AA1
TSHR
CD27
EEF1A1
CRB3
ITGA3
SCARB1
ACE
PTPRN
TNFSF4
TMEM132A
ABCC2
NPR1
TRPM2
TGFBR2
PARD3
PDCD1
ANPEP
TFPI
NRG1
S100A6
SNCA
KCNH2
SRC
PTPN13
MST1R
TREM1
HSD11B1
ADRB1
CD83
SHH
CSF2RB
HM13
IL21R
TLR2
SULF1
MYH9
CD28
DMD
SELE
EPOR
TIAM1
SLC39A4
NOTCH2
PTPRD
CSF3R
CXCR2
PTCH1
HLA-C
CD1D
EZR
LGR4
TDGF1
BLNK
RYR1
PIGR
ENG
ATP1A1
STX1A
GFRA1
LYVE1
NOD2
TYRO3
GPR35
AXL
HSPA8
TNFRSF4
CD74
APP
BMPR1B
DCT
ABCG1
BSG
TGFA
DDR2
ENPP3
AGTR1
SSTR5
LTA
SLC16A1
VASP
RECK
S100A9
EMP1
TNFRSF12A
CD40
JAG2
CD8A
KLRC2
JPH3
NT5E
CD1E
CD24
SDCBP
PTK2B
NTRK3
CD81
ILK
CXCR6
TPO
CD99
EDA
DLL1
IL1RL1
TNFRSF10D
GRB7
MSR1
OLR1
SSTR2
MLC1
CSF2RA
CD86
TREM2
LRRC32
PRX
GJC1
ANK3
KCNQ1
SLC3A2
CHRNB4
MFI2
PTPRZ1
THY1
PROM1
VIPR1
TMEFF2
DLL4
CLMP
ADORA1
AQP3
RAB25
PRSS21
PAG1
PMEPA1
CR2
RHOC
CXCR4
PMP22
DRD4
SLC18A2
TNFSF13B
ITGAM
ATP7A
S1PR1
TFR2
GZMA
ACE2
NRP1
NOS3
LRRC15
HLA-DQB1
XPR1
PAK1
BAMBI
GEM
MYLK
ABCB4
CD3G
NEGR1
SLC26A4
OXTR
PIK3CG
CA4
DPP4
C1QBP
FUT3
TLR1
TBXA2R
CD7
MAP4
SLC6A2
MIB1
KCNK5
OR51E1
MICB
TNFRSF25
PRNP
ARL4C
ROR1
CD276
CDH17
JAG1
PTK6
MARCKS
HAVCR1
BACE1
FCGR2A
KCNMB2
SSTR1
IL7R
PTGER1
TLR5
GRPR
SLC5A1
CLDN4
LRP8
TNFSF9
PVR
ADRA2A
MAPKAP1
LRP1
ITGB4
MAG
KCNMA1
GYPC
SLC14A1
HAVCR2
CLDN3
HRH1
VDAC1
BMPR1A
CD177
SLAMF7
EDNRA
FYN
OSMR
CACNA1C
IL1R2
CX3CL1
ALPL
CD63
GJA3
SLC52A3
TJP1
CD22
CLDN6
CXCR3
RRAD
IL2RB
ACPP
CD4
DSC2
PKD2
RGS2
CLDN7
CD59
EREG
CD163
CALR
PVRL4
GNAI2
ADAM17
TACSTD2
ITPR1
MCHR1
ENPP1
ICOS
VTCN1
MARCO
ITGB5
CSPG4
FZD2
AQP5
CDH13
CAV2
DCC
ACVR2B
IFITM3
LAMP3
PLP1
TNFRSF19
S1PR3
APLP1
LY6K
TNFRSF8
NPR3
PRF1
PROCR
EPHA7
DLG4
SLC4A4
CNTN2
SLC3A1
STYK1
CACNA1D
GNAQ
ACTN1
ADCYAP1R1
P2RX7
SLC26A3
FCER2
TACR1
ADAM8
CHRNA4
ABCA3
VLDLR
DDR1
AP2M1
TENM1
CDK5
MUC12
SCRIB
ATP8B1
CD58
THBD
TNFRSF17
ADIPOR2
CLN3
NEDD4
FLVCR1
CLDN11
KREMEN2
PKD1
HSD17B2
NOTCH4
BDKRB1
P2RY6
COL17A1
PTH1R
FURIN
NRP2
CD6
CSF1
EHD2
PAM
EFNA2
DSP
DSC3
SLC22A2
FZD4
PTK7
ABCC8
CACNA1E
PDLIM5
USP8
CD209
SERPINA5
UNC5B
KLRB1
CD151
HHIP
TNFRSF13C
NGFR
PKP3
ENPEP
CD248
ITGA2
ATP1B1
TGFBR3
F11R
CD48
KANK1
BMPR2
CEACAM1
TMEM67
COL6A2
SLC1A1
OR51E2
SLC11A1
MC2R
RTN4
FCRL3
ITGA5
ABCC5
CDH5
DCSTAMP
SORL1
SPINT1
MSN
SV2A
FZD6
KCNQ2
TRPC6
ICAM2
PTGER2
JAM3
IGLL1
HCN2
PLXNB1
UPK2
EPHA3
CD247
PANX1
TM4SF1
MR1
CCR4
GJB3
GPC1
KCNK2
OCLN
TNFRSF10C
MFSD12
ITGAX
CD109
GOLM1
KCNN4
KITLG
PSD
SLC5A5
HTR3A
KCNJ10
FLNA
HBEGF
SLC1A2
FNDC4
PHEX
FCER1A
ABCB5
CXADR
