Gene
EGFR
FLT3
MET
FGFR2
ERBB2
FGFR3
KIT
PDGFRA
FGFR1
IGF1R
CDH1
ERBB3
TNFSF10
CD19
FGFR4
CD79B
ITGB3
RET
CD79A
TFRC
ANO1
KISS1R
CDH2
TNFSF11
MUC1
EPHA2
MPL
SLC6A3
EPCAM
CFTR
THBS1
CA9
EPHB2
TMPRSS2
SDC1
ALK
ABCB1
SLC7A5
GPER1
KDR
ITGB1
SLC2A1
EGF
INSR
PDGFRB
FASLG
IL6ST
CD46
CD2
CD44
MUC16
MC1R
TRPM8
ABCG2
CD1C
ADAM12
GJB2
TNFRSF10A
P2RY12
FAT1
SLC7A11
CD1A
LGR5
CD70
F3
FLT1
LIFR
MBP
CD68
L1CAM
HLA-B
FAP
ITGAV
DLL3
SLC16A3
LDLR
TLR4
IL1R1
CD38
IL2RG
PDPN
MCAM
CD3E
HLA-DQA1
JUP
SLC1A5
CPM
PTGER4
RYR2
HMMR
CD40LG
CR1
EDNRB
LPAR1
ADRB2
ABCB6
MSLN
CDH11
CD274
CEACAM6
SELP
CHRNA5
MMP14
CD36
CD69
CTSG
NOTCH1
PRLR
ROS1
CTLA4
CD3D
GHR
PDCD1LG2
PTPRC
AREG
NOX1
NTRK2
RNF43
FAS
SLC45A2
CD80
DLK1
ITLN1
CDH3
GJA1
CCR7
CA12
ABCC1
IL6R
CEACAM5
LEPR
CDH6
TNFRSF10B
PSCA
FOLH1
ULBP2
SDC2
ABCC11
AQP4
CD33
CHRNA3
DSG3
NCAM1
SLC19A1
PTPRN2
ANGPT1
ICAM1
PLAUR
DRD2
CD52
ACHE
IL2RA
KL
CCR5
CD55
HAS2
ERBB4
ABCC3
TNFRSF11A
SLC2A3
TNF
HLA-A
ALPP
MME
SLC39A6
SLC2A4
HAS1
CD5
NOTCH3
SLAMF1
DSG2
TEK
SELL
ABCC6
BACE2
PTGER3
VCAM1
ABCC4
CCR2
GPC3
ST14
CADM1
SLC7A1
ITGA4
FCGR3A
SPN
LPL
IL4R
MUC4
CD1B
DNER
HLA-G
CD8B
CD34
B2M
HLA-DRB1
PLA2G2A
TGFBR1
SMO
MMP16
NTRK1
KCNK9
FLT4
FOLR1
P4HB
CDCP1
NOX4
CLDN1
CD244
TNFRSF9
CX3CR1
TSHR
CD27
CRB3
ITGA3
SCARB1
ACE
PTPRN
TNFSF4
TMEM132A
ABCC2
NPR1
TRPM2
TGFBR2
PDCD1
ANPEP
TFPI
NRG1
KCNH2
MST1R
TREM1
ADRB1
CD83
SHH
CSF2RB
HM13
IL21R
TLR2
SULF1
CD28
SELE
EPOR
SLC39A4
NOTCH2
PTPRD
CSF3R
CXCR2
PTCH1
HLA-C
CD1D
LGR4
RYR1
PIGR
ENG
ATP1A1
STX1A
GFRA1
LYVE1
TYRO3
GPR35
AXL
HSPA8
TNFRSF4
CD74
APP
BMPR1B
DCT
ABCG1
BSG
TGFA
DDR2
ENPP3
AGTR1
SSTR5
LTA
SLC16A1
RECK
EMP1
TNFRSF12A
CD40
JAG2
CD8A
KLRC2
NT5E
CD1E
CD24
NTRK3
CD81
CXCR6
CD99
EDA
DLL1
IL1RL1
TNFRSF10D
MSR1
OLR1
SSTR2
CSF2RA
CD86
TREM2
LRRC32
GJC1
SLC3A2
CHRNB4
PTPRZ1
THY1
PROM1
VIPR1
TMEFF2
DLL4
CLMP
ADORA1
AQP3
PRSS21
PAG1
PMEPA1
CR2
CXCR4
PMP22
DRD4
SLC18A2
TNFSF13B
ITGAM
ATP7A
S1PR1
TFR2
GZMA
ACE2
NRP1
LRRC15
HLA-DQB1
XPR1
BAMBI
ABCB4
CD3G
NEGR1
SLC26A4
OXTR
CA4
DPP4
FUT3
TLR1
TBXA2R
CD7
SLC6A2
KCNK5
OR51E1
MICB
TNFRSF25
ROR1
CD276
CDH17
JAG1
HAVCR1
BACE1
FCGR2A
KCNMB2
SSTR1
IL7R
PTGER1
TLR5
GRPR
SLC5A1
CLDN4
LRP8
TNFSF9
PVR
ADRA2A
LRP1
ITGB4
MAG
KCNMA1
GYPC
SLC14A1
HAVCR2
CLDN3
HRH1
VDAC1
BMPR1A
CD177
SLAMF7
EDNRA
OSMR
CACNA1C
IL1R2
CX3CL1
ALPL
CD63
GJA3
SLC52A3
CD22
CLDN6
CXCR3
IL2RB
CD4
DSC2
PKD2
CLDN7
CD59
EREG
CD163
CALR
ADAM17
TACSTD2
ITPR1
MCHR1
ENPP1
ICOS
VTCN1
MARCO
ITGB5
CSPG4
FZD2
AQP5
CDH13
DCC
ACVR2B
IFITM3
LAMP3
PLP1
TNFRSF19
S1PR3
APLP1
LY6K
TNFRSF8
NPR3
PRF1
PROCR
EPHA7
SLC4A4
CNTN2
SLC3A1
STYK1
CACNA1D
ADCYAP1R1
P2RX7
SLC26A3
FCER2
TACR1
ADAM8
CHRNA4
ABCA3
VLDLR
DDR1
TENM1
MUC12
ATP8B1
CD58
THBD
TNFRSF17
ADIPOR2
CLN3
FLVCR1
CLDN11
KREMEN2
PKD1
HSD17B2
NOTCH4
BDKRB1
P2RY6
COL17A1
PTH1R
FURIN
NRP2
CD6
CSF1
PAM
EFNA2
DSC3
SLC22A2
FZD4
PTK7
ABCC8
CACNA1E
CD209
SERPINA5
UNC5B
KLRB1
CD151
HHIP
TNFRSF13C
NGFR
ENPEP
CD248
ITGA2
ATP1B1
TGFBR3
F11R
CD48
BMPR2
CEACAM1
TMEM67
COL6A2
SLC1A1
OR51E2
SLC11A1
MC2R
RTN4
FCRL3
ITGA5
ABCC5
CDH5
DCSTAMP
SORL1
SPINT1
SV2A
FZD6
KCNQ2
TRPC6
ICAM2
PTGER2
JAM3
IGLL1
HCN2
PLXNB1
EPHA3
CD247
PANX1
TM4SF1
CCR4
GJB3
GPC1
KCNK2
OCLN
TNFRSF10C
MFSD12
ITGAX
CD109
GOLM1
KCNN4
KITLG
SLC5A5
HTR3A
KCNJ10
FLNA
HBEGF
SLC1A2
FNDC4
PHEX
FCER1A
ABCB5
CXADR
MPZ
CNR1
ASIC1
CA14
APLP2
ITGA6
SLC29A4
HFE
GJB6
UNC5C
SLC22A5
P2RY2
STEAP1
SLCO1B3
CANT1
SLC34A2
FLT3LG
ATP6V0A4
CYBA
KCNMB1
F2R
PTPRR
ZP3
PTPRA
TSPAN1
IL3RA
EFNA5
LRIG1
SCN9A
LRP12
CHL1
SLC1A3
NTM
SEMA4D
ADIPOR1
GRIK2
ITGAL
FAT4
LAG3
SLC44A4
MUC20
GRIN1
SLC16A4
MRC1
OPRK1
FGF10
GABBR2
FCGR1A
CACNA1A
CUBN
CYBB
PECAM1
CLDN2
CACNA1G
ABCA5
ATP6V0A2
PSEN2
PTPRU
PANX2
TNFRSF1A
CD14
ABCA1
TNFRSF13B
FLRT3
GRM3
ABCA12
CRB1
PKHD1
ATP7B
NCR3
STIM1
CHRM1
SLC2A9
GGT1
SLC10A4
ITGA2B
CYSLTR1
EPHB6
GPR3
KLRG1
EFNA3
TNFRSF14
FZD5
SLC2A2
SLCO1B1
ACVR1
ACKR1
SLC31A1
